SRS QCM200 Data File
Data Taken on 03.05.2023 at 10:54:21
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004221500E+6	+03.270600E+2	+01.300000E+0	+01.320000E+0	-02.296820E-2	+01.894210E+2	0
+05.004221600E+6	+03.270600E+2	+01.400000E+0	+01.320000E+0	-02.473498E-2	+01.904940E+2	0
+05.004221700E+6	+03.270800E+2	+01.500000E+0	+01.340000E+0	-02.650177E-2	+01.915670E+2	0
+05.004221800E+6	+03.271100E+2	+01.600000E+0	+01.370000E+0	-02.826855E-2	+01.926440E+2	0
+05.004221800E+6	+03.271200E+2	+01.600000E+0	+01.380000E+0	-02.826855E-2	+01.937160E+2	0
+05.004221800E+6	+03.271200E+2	+01.600000E+0	+01.380000E+0	-02.826855E-2	+01.947830E+2	0
+05.004221800E+6	+03.271200E+2	+01.600000E+0	+01.380000E+0	-02.826855E-2	+01.958660E+2	0
+05.004221700E+6	+03.271800E+2	+01.500000E+0	+01.440000E+0	-02.650177E-2	+01.969410E+2	0
+05.004221900E+6	+03.272200E+2	+01.700000E+0	+01.480000E+0	-03.003534E-2	+01.980130E+2	0
+05.004222100E+6	+03.272100E+2	+01.900000E+0	+01.470000E+0	-03.356890E-2	+01.990870E+2	0
+05.004222300E+6	+03.272400E+2	+02.100000E+0	+01.500000E+0	-03.710247E-2	+02.001640E+2	0
+05.004222400E+6	+03.272900E+2	+02.200000E+0	+01.550000E+0	-03.886926E-2	+02.012330E+2	0
+05.004222400E+6	+03.273200E+2	+02.200000E+0	+01.580000E+0	-03.886926E-2	+02.023140E+2	0
+05.004222500E+6	+03.273000E+2	+02.300000E+0	+01.560000E+0	-04.063604E-2	+02.033940E+2	0
+05.004222600E+6	+03.272500E+2	+02.400000E+0	+01.510000E+0	-04.240283E-2	+02.044580E+2	0
+05.004222500E+6	+03.271600E+2	+02.300000E+0	+01.420000E+0	-04.063604E-2	+02.055460E+2	0
+05.004222500E+6	+03.271200E+2	+02.300000E+0	+01.380000E+0	-04.063604E-2	+02.066110E+2	0
+05.004222400E+6	+03.271500E+2	+02.200000E+0	+01.410000E+0	-03.886926E-2	+02.076920E+2	0
+05.004222400E+6	+03.271600E+2	+02.200000E+0	+01.420000E+0	-03.886926E-2	+02.087690E+2	0
+05.004222200E+6	+03.271700E+2	+02.000000E+0	+01.430000E+0	-03.533569E-2	+02.098470E+2	0
+05.004222400E+6	+03.271700E+2	+02.200000E+0	+01.430000E+0	-03.886926E-2	+02.109140E+2	0
+05.004222400E+6	+03.271800E+2	+02.200000E+0	+01.440000E+0	-03.886926E-2	+02.119870E+2	0
+05.004222300E+6	+03.270800E+2	+02.100000E+0	+01.340000E+0	-03.710247E-2	+02.130660E+2	0
+05.004222400E+6	+03.270400E+2	+02.200000E+0	+01.300000E+0	-03.886926E-2	+02.141390E+2	0
+05.004222900E+6	+03.271000E+2	+02.700000E+0	+01.360000E+0	-04.770318E-2	+02.152110E+2	0
+05.004223100E+6	+03.271400E+2	+02.900000E+0	+01.400000E+0	-05.123675E-2	+02.162850E+2	0
