BindingEnergy,Scan1
327.65,1455
328.23,1404
328.88,1502
329.49,1451
330.04999999999995,1510
330.07000000000005,1439
330.67999999999995,1415
331.28,1472
331.90999999999997,1340
332.46000000000004,1431
333.08000000000004,1388
333.09000000000003,1336
333.70000000000005,1403
334.30999999999995,1314
334.87,1420
335.49,1409
335.46000000000004,1353
336.11,1403
336.71000000000004,1339
337.26,1241
337.9,1362
338.49,1360
338.47,1339
339.1,1329
339.66999999999996,1292
340.28999999999996,1386
340.92999999999995,1384
340.91999999999996,1292
341.52,1396
342.09000000000003,1302
342.67999999999995,1418
343.35,1310
343.98,1327
343.95000000000005,1321
344.49,1321
345.11,1363
345.74,1275
346.35,1263
346.34000000000003,1328
346.94000000000005,1224
347.53,1302
348.15999999999997,1337
348.78999999999996,1319
349.37,1257
349.36,1411
349.95000000000005,1393
350.59000000000003,1285
351.22,1323
351.77,1314
351.76,1330
352.35,1398
353.0,1384
353.62,1376
354.17999999999995,1327
354.74,1300
354.74,1329
355.40999999999997,1351
356.03,1240
356.58000000000004,1296
357.15999999999997,1297
357.14,1371
357.77,1250
358.44000000000005,1350
358.98,1367
359.53999999999996,1358
360.22,1359
360.19000000000005,1350
360.83000000000004,1318
361.4,1281
361.95000000000005,1330
362.59000000000003,1316
363.24,1277
363.23,1356
363.79999999999995,1335
364.4,1334
365.0,1344
365.62,1228
365.65,1384
366.22,1255
366.78999999999996,1304
367.41999999999996,1325
368.03999999999996,1341
368.61,1304
368.62,1307
369.21000000000004,1309
369.86,1339
370.51,1330
371.11,1348
371.1,1354
371.67999999999995,1314
372.30999999999995,1283
372.95000000000005,1297
373.53999999999996,1248
374.11,1351
374.12,1337
374.72,1326
375.37,1349
375.98,1335
376.54999999999995,1432
376.57000000000005,1305
377.17999999999995,1326
377.78999999999996,1264
378.4,1323
378.96000000000004,1374
379.57000000000005,1282
379.58000000000004,1327
380.24,1346
380.79999999999995,1278
381.38,1383
382.03999999999996,1193
382.02,1406
382.70000000000005,1378
383.27,1399
383.82000000000005,1322
384.46000000000004,1297
385.12,1389
385.1,1375
385.72,1313
386.28999999999996,1491
386.9,1461
387.61,1298
387.58000000000004,1349
388.17999999999995,1404
388.76,1561
389.4,1415
390.03999999999996,1448
390.62,1402
390.63,1440
391.15,1342
391.78999999999996,1392
392.47,1371
393.02,1378
393.03,1310
393.55999999999995,1469
394.15999999999997,1423
394.85,1403
395.42999999999995,1392
395.97,1404
395.96000000000004,1412
396.6,1471
397.24,1416
397.82000000000005,1323
398.39,1440
