Scans: 1	Points: 2200	time: 333.000000
Energy(calc)	Energy(meas)	Sum	Scan1
984.5	974.8	1305	1305
984	974.79	1390	1390
983.5	974.16	1295	1295
983	973.55	1431	1431
982.5	972.94	1308	1308
982	972.34	1389	1389
981.5	971.75	1342	1342
981	971.73	1315	1315
980.5	971.09	1269	1269
980	970.53	1364	1364
979.5	969.97	1413	1413
979	969.32	1367	1367
978.5	968.7	1731	1731
978	968.71	1643	1643
977.5	968.1	1780	1780
977	967.54	1671	1671
976.5	966.95	1536	1536
976	966.29	1443	1443
975.5	966.32	1480	1480
975	965.71	1393	1393
974.5	965.16	1326	1326
974	964.56	1372	1372
973.5	963.92	1400	1400
973	963.32	1339	1339
972.5	963.31	1256	1256
972	962.76	1436	1436
971.5	962.12	1353	1353
971	961.49	1381	1381
970.5	960.91	1321	1321
970	960.89	1360	1360
969.5	960.35	1350	1350
969	959.73	1334	1334
968.5	959.07	1346	1346
968	958.5	1392	1392
967.5	957.92	1361	1361
967	957.89	1390	1390
966.5	957.33	1427	1427
966	956.71	1351	1351
965.5	956.07	1400	1400
965	955.51	1369	1369
964.5	955.52	1259	1259
964	954.91	1423	1423
963.5	954.25	1358	1358
963	953.69	1197	1197
962.5	953.07	1289	1289
962	952.44	1325	1325
961.5	952.48	1293	1293
961	951.81	1322	1322
960.5	951.18	1335	1335
960	950.64	1309	1309
959.5	950.01	1358	1358
959	950.01	1316	1316
958.5	949.36	1248	1248
958	948.75	1358	1358
957.5	948.17	1359	1359
957	947.59	1246	1246
956.5	946.95	1280	1280
956	946.94	1364	1364
955.5	946.34	1386	1386
955	945.72	1281	1281
954.5	945.11	1419	1419
954	944.5	1322	1322
953.5	944.5	1351	1351
953	943.88	1426	1426
952.5	943.33	1311	1311
952	942.72	1306	1306
951.5	942.08	1283	1283
951	941.49	1376	1376
950.5	941.49	1377	1377
950	940.89	1358	1358
949.5	940.26	1336	1336
949	939.62	1332	1332
948.5	938.99	1300	1300
948	939.03	1337	1337
947.5	938.4	1349	1349
947	937.79	1354	1354
946.5	937.21	1345	1345
946	936.57	1382	1382
945.5	935.96	1356	1356
945	935.99	1388	1388
944.5	935.36	1509	1509
944	934.72	1297	1297
943.5	934.08	1396	1396
943	933.47	1436	1436
942.5	933.46	1347	1347
942	932.86	1399	1399
941.5	932.19	1359	1359
941	931.58	1287	1287
940.5	931.04	1405	1405
940	930.4	1328	1328
939.5	930.41	1433	1433
939	929.8	1337	1337
938.5	929.19	1335	1335
938	928.61	1445	1445
937.5	928.06	1393	1393
937	928.06	1418	1418
936.5	927.38	1447	1447
936	926.8	1374	1374
935.5	926.22	1304	1304
935	925.64	1334	1334
934.5	924.99	1322	1322
934	925.01	1344	1344
933.5	924.38	1419	1419
933	923.81	1294	1294
932.5	923.24	1325	1325
932	922.57	1392	1392
931.5	921.97	1377	1377
931	921.99	1304	1304
930.5	921.39	1407	1407
930	920.78	1335	1335
929.5	920.18	1401	1401
929	919.56	1386	1386
928.5	919.56	1425	1425
928	918.98	1416	1416
927.5	918.4	1320	1320
927	917.78	1376	1376
926.5	917.2	1398	1398
926	916.59	1390	1390
925.5	916.58	1376	1376
925	916.01	1357	1357
924.5	915.36	1310	1310
924	914.76	1362	1362
923.5	914.19	1397	1397
923	914.16	1427	1427
922.5	913.58	1301	1301
922	912.97	1296	1296
921.5	912.33	1333	1333
921	911.75	1342	1342
920.5	911.2	1310	1310
920	911.18	1268	1268
919.5	910.56	1348	1348
919	909.95	1392	1392
918.5	909.36	1387	1387
918	908.76	1362	1362
917.5	908.81	1447	1447
917	908.17	1386	1386
916.5	907.52	1378	1378
916	906.96	1355	1355
915.5	906.37	1337	1337
915	905.74	1441	1441
914.5	905.76	1361	1361
914	905.13	1378	1378
913.5	904.54	1391	1391
913	903.98	1364	1364
912.5	903.36	1370	1370
912	903.35	1358	1358
911.5	902.73	1448	1448
911	902.13	1457	1457
910.5	901.53	1384	1384
910	900.93	1359	1359
909.5	900.3	1459	1459
909	900.29	1389	1389
908.5	899.73	1359	1359
908	899.14	1451	1451
907.5	898.52	1434	1434
907	897.91	1377	1377
906.5	897.92	1359	1359
906	897.3	1411	1411
905.5	896.73	1457	1457
905	896.13	1603	1603
904.5	895.49	1484	1484
904	894.89	1703	1703
903.5	894.91	1641	1641
903	894.29	1613	1613
902.5	893.68	1737	1737
902	893.07	1664	1664
901.5	892.47	1529	1529
901	892.46	1521	1521
900.5	891.92	1454	1454
900	891.28	1493	1493
899.5	890.64	1386	1386
899	890.08	1630	1630
898.5	889.49	1652	1652
898	889.5	1597	1597
897.5	888.91	1697	1697
897	888.25	1739	1739
896.5	887.65	1775	1775
896	887.1	1879	1879
895.5	887.08	2000	2000
895	886.5	2917	2917
894.5	885.88	4403	4403
894	885.27	4844	4844
893.5	884.68	3517	3517
893	884.12	2351	2351
892.5	884.08	2479	2479
892	883.45	1947	1947
891.5	882.87	1743	1743
891	882.27	1863	1863
890.5	881.67	1975	1975
890	881.07	2089	2089
889.5	881.04	2054	2054
889	880.43	2905	2905
888.5	879.9	3809	3809
888	879.28	3867	3867
887.5	878.65	3003	3003
887	878.65	3142	3142
886.5	878.04	2245	2245
886	877.46	2000	2000
885.5	876.9	2062	2062
885	876.24	1940	1940
884.5	875.63	2010	2010
884	875.64	2015	2015
883.5	875.02	2026	2026
883	874.4	2015	2015
882.5	873.8	1897	1897
882	873.16	1921	1921
881.5	873.16	1966	1966
881	872.58	1860	1860
880.5	871.97	1927	1927
880	871.33	1908	1908
879.5	870.77	1914	1914
879	870.15	1992	1992
878.5	870.15	2008	2008
878	869.59	2040	2040
877.5	868.94	2038	2038
877	868.31	1999	1999
876.5	867.72	1938	1938
876	867.7	2147	2147
875.5	867.13	2020	2020
875	866.5	1870	1870
874.5	865.88	1938	1938
874	865.26	2096	2096
873.5	864.71	2018	2018
873	864.7	2053	2053
872.5	864.07	1894	1894
